threshold,precision,recall,f1
0.3,0.7868852459016393,0.9664429530201343,0.8674698795180724
0.35,0.8421052631578947,0.9664429530201343,0.9
0.4,0.8834355828220859,0.9664429530201343,0.923076923076923
0.45,0.9056603773584906,0.9664429530201343,0.935064935064935
0.5,0.9290322580645162,0.9664429530201343,0.9473684210526316
0.55,0.9473684210526315,0.9664429530201343,0.9568106312292358
0.6,0.9659863945578231,0.9530201342281879,0.9594594594594594
0.65,0.9722222222222222,0.9395973154362416,0.9556313993174061
0.7,0.9722222222222222,0.9395973154362416,0.9556313993174061
0.75,0.9855072463768116,0.912751677852349,0.9477351916376308
0.8,0.9851851851851852,0.8926174496644296,0.9366197183098592
